,CSGP
2018-04-23,0.005796618526801467
2018-07-24,0.03231262611046757
2018-10-23,0.027829461554649736
2019-02-26,0.036923244426196274
2019-04-23,0.05300389230251312
2019-07-23,0.09490820649706898
2019-10-22,0.07336793460640889
2020-02-25,0.031979724764823914
2020-04-28,0.05360490258317441
2020-07-28,0.07247311153978778
2020-10-27,0.06100686298062404
2021-02-23,0.058246538092039134
2021-04-27,0.03868795186281204
2021-07-27,0.04304204136133194
2021-10-26,0.06161459535360336
2022-02-22,0.06702639037014349
2022-04-26,0.044183772057294846
2022-07-26,0.0701676532626152
2022-10-25,0.0694989487528801
2023-02-21,0.038368046283721924
2023-04-25,0.04964478381696015
2023-07-25,0.023857248947024345
2023-10-24,0.03844086576066066
2024-02-20,-0.020728502422571182
2024-04-23,-0.011172458529472351
2024-07-23,0.08326975256204605
2024-10-22,0.07832632213830948
2025-02-18,0.06388694410859841
2025-04-29,0.09284186116268325
2025-07-22,0.03570627559580513
2025-10-28,0.035224069424561764
