,CSGP
2018-04-23,-0.0011201343731954694
2018-07-24,0.015928033739328384
2018-10-23,0.028849681839346886
2019-02-26,0.04008049890398979
2019-04-23,0.05300389230251312
2019-07-23,0.0655772015452385
2019-10-22,0.052248332649469376
2020-02-25,0.031979724764823914
2020-04-28,0.03656519204378128
2020-07-28,0.047858331352472305
2020-10-27,-0.03728548064827919
2021-02-23,0.04479677230119705
2021-04-27,0.03868795186281204
2021-07-27,0.04304204136133194
2021-10-26,0.06161459535360336
2022-02-22,0.06792918592691422
2022-04-26,0.044183772057294846
2022-07-26,0.0701676532626152
2022-10-25,0.0694989487528801
2023-02-21,0.038368046283721924
2023-04-25,0.05736514925956726
2023-07-25,0.023857248947024345
2023-10-24,0.0519404299557209
2024-02-20,-0.020728502422571182
2024-04-23,-0.011172458529472351
2024-07-23,0.08326975256204605
2024-10-22,0.07832632213830948
2025-02-18,0.10200980305671692
2025-04-29,0.12142334133386612
2025-07-22,0.07518814504146576
2025-10-28,-0.033765651285648346
